
0
"82,790154"
"70,056328"
"56,242771"
"41,562389"
"26,241438"
"10,516047"
"-5,371418"
"-21,176098"
"-36,654408"
"-51,567791"
"-65,686401"
"-78,792633"
"-90,684502"
"-101,178711"
"-110,113541"
"-117,351265"
"-122,780357"
"-126,317123"
"-127,907059"
"-127,525665"
"-125,178818"
"-120,902687"
"-114,763176"
"-106,854904"
"-97,299767"
"-86,245018"
"-73,861046"
"-60,338707"
"-45,886417"
"-30,726913"
"-15,09384"
"0,771863"
"16,625669"
"32,22324"
"47,324177"
"61,69574"
"75,11644"
"87,379425"
"98,2957"
"107,697014"
"115,438484"
"121,400787"
"125,492035"
"127,64917"
"127,838943"
"126,058441"
"122,335091"
"116,726288"
"109,318474"
"100,225815"
"89,588455"
"77,570335"
"64,356689"
"50,151161"
"35,172691"
"19,65213"
"3,828688"
"-12,053762"
"-27,750439"
"-43,019417"
"-57,625374"
"-71,343193"
"-83,961456"
"-95,285683"
"-105,14135"
"-113,376549"
"-119,864365"
"-124,504807"
"-127,226349"
"-127,987053"
"-126,775192"
"-123,609436"
"-118,538589"
"-111,6408"
"-103,022369"
"-92,816139"
"-81,179413"
"-68,291519"
"-54,351109"
"-39,573025"
"-24,185032"
"-8,424294"
"7,466282"
"23,241785"
"38,659081"
"53,480553"
"67,477776"
"80,435005"
"92,152557"
"102,449837"
"111,168137"
"118,17308"
"123,35672"
"126,63916"
"127,969803"
"127,328148"
"124,724083"
"120,197739"
"113,818886"
"105,685822"
"95,923912"
"84,683601"
"72,138123"
"58,480835"
"43,92223"
"28,686686"
"13,009014"
"-2,869155"
"-18,703104"
"-34,248795"
"-49,266636"
"-63,525169"
"-76,804642"
"-88,900375"
"-99,625961"
"-108,816093"
"-116,329117"
"-122,049255"
"-125,888344"
"-127,787216"
"-127,716637"
"-125,677704"
"-121,701797"
"-115,850197"
"-108,213081"
"-98,908165"
"-88,07885"
"-75,892052"
"-62,53558"
"-48,215298"
"-33,151913"
"-17,577579"
"-1,732339"
"14,139602"
"29,793619"
"44,988453"
"59,48991"
"73,074501"
"85,532845"
"96,672943"
"106,32309"
"114,334564"
"120,583885"
"124,974747"
"127,439461"
"127,940056"
"126,468811"
"123,048393"
"117,731529"
"110,600159"
"101,764191"
"91,359818"
"79,547379"
"66,508942"
"52,445454"
"37,573666"
"22,12278"
"6,330935"
"-9,558484"
"-25,300585"
"-40,652748"
"-55,378361"
"-69,250473"
"-82,055275"
"-93,595428"
"-103,693069"
"-112,192566"
"-118,962921"
"-123,899796"
"-126,927101"
"-127,998177"
"-127,096512"
"-124,236008"
"-119,460754"
"-112,844337"
"-104,488747"
"-94,522743"
"-83,099937"
"-70,396378"
"-56,607849"
"-41,946873"
"-26,639399"
"-10,921351"
"4,965017"
"20,774864"
"36,264523"
"51,195267"
"65,336975"
"78,471695"
"90,396996"
"100,92907"
"109,905609"
"117,188255"
"122,664772"
"126,250748"
"127,890923"
"127,560005"
"125,263115"
"121,035629"
"114,942726"
"107,078293"
"97,563545"
"86,545128"
"74,192856"
"60,697109"
"46,265884"
"31,121597"
"15,497658"
"-0,365135"
"-16,2223"
"-31,829443"
"-46,946026"
"-61,339062"
"-74,786728"
"-87,081764"
"-98,034676"
"-107,476654"
"-115,262184"
"-121,271263"
"-125,411278"
"-127,618431"
"-127,858696"
"-126,128372"
"-122,454132"
"-116,892601"
"-109,529495"
"-100,478294"
"-89,878502"
"-77,893478"
"-64,707947"
"-50,52512"
"-35,563587"
"-20,053942"
"-4,235219"
"11,648778"
"27,353241"
"42,636127"
"57,261898"
"71,005135"
"83,65403"
"95,013626"
"104,908844"
"113,187187"
"119,721069"
"124,409782"
"127,181053"
"127,992188"
"126,830681"
"123,714424"
"118,69146"
"111,839188"
"103,263229"
"93,095757"
"81,493469"
"68,635185"
"54,719078"
"39,959629"
"24,584314"
"8,830101"
"-7,060205"
"-22,841698"
"-38,271149"
"-53,110756"
"-67,131805"
"-80,11821"
"-91,869812"
"-102,20549"
"-110,965965"
"-118,016197"
"-123,247543"
"-126,579369"
"-127,96032"
"-127,369125"
"-124,81488"
"-120,336967"
"-114,004387"
"-105,914749"
"-96,192726"
"-84,988167"
"-72,47374"
"-58,842339"
"-44,304043"
"-29,082926"
"-13,413574"
"2,46251"
"18,300642"
"33,85672"
"48,890991"
"63,171741"
"76,478874"
"88,6073"
"99,370094"
"108,601364"
"116,158852"
"121,926071"
"125,814133"
"127,763123"
"127,743004"
"125,754074"
"121,826996"
"116,022293"
"108,429428"
"99,165421"
"88,373055"
"76,218666"
"62,889576"
"48,591217"
"33,543961"
"17,979717"
"2,138366"
"-13,735943"
"-29,39855"
"-44,608059"
"-59,130062"
"-72,740738"
"-85,230316"
"-96,406303"
"-106,096458"
"-114,151428"
"-120,447067"
"-124,886353"
"-127,400864"
"-127,951836"
"-126,530792"
"-123,159622"
"-117,890297"
"-110,804008"
"-102,009995"
"-91,643768"
"-79,865112"
"-66,85556"
"-52,815613"
"-37,961658"
"-22,522631"
"-6,736479"
"9,153497"
"24,902397"
"40,267494"
"55,011982"
"68,908615"
"81,74321"
"93,317955"
"103,454468"
"111,996521"
"118,812447"
"123,797218"
"126,873993"
"127,995361"
"127,144035"
"124,333138"
"119,605988"
"113,035439"
"104,722763"
"94,796082"
"83,408379"
"70,735168"
"56,971767"
"42,330311"
"27,036446"
"11,325889"
"-4,559225"
"-20,374071"
"-35,874905"
"-50,82283"
"-64,987457"
"-78,15049"
"-90,109047"
"-100,678818"
"-109,696907"
"-117,024323"
"-122,548134"
"-126,183205"
"-127,873512"
"-127,593002"
"-125,346008"
"-121,167145"
"-115,120827"
"-107,30024"
"-97,825912"
"-86,84388"
"-74,523384"
"-61,054317"
"-46,644268"
"-31,515327"
"-15,900665"
"-0,040938"
"15,81942"
"31,435966"
"46,568012"
"60,982346"
"74,456802"
"86,783714"
"97,773094"
"107,255577"
"115,085007"
"121,140724"
"125,329391"
"127,586456"
"127,877129"
"126,19693"
"122,571754"
"117,057472"
"109,739082"
"100,729362"
"90,167175"
"78,215317"
"65,057983"
"50,897964"
"35,953495"
"20,454899"
"4,641048"
"-11,244331"
"-26,956409"
"-42,253033"
"-56,898438"
"-70,666916"
"-83,346252"
"-94,741043"
"-104,675667"
"-112,997002"
"-119,576797"
"-124,313652"
"-127,134552"
"-127,996033"
"-126,884804"
"-123,818001"
"-118,842888"
"-112,036133"
"-103,502663"
"-93,373978"
"-81,806198"
"-68,9776"
"-55,085899"
"-40,345207"
"-24,982704"
"-9,235162"
"6,654715"
"22,442028"
"37,883457"
"52,74102"
"66,785728"
"79,801117"
"91,586594"
"101,960518"
"110,763"
"117,858376"
"123,137299"
"126,518394"
"127,94957"
"127,408745"
"124,904274"
"120,474754"
"114,188446"
"106,142235"
"96,460144"
"85,291382"
"72,80809"
"59,202663"
"44,684795"
"29,478231"
"13,817344"
"-2,0565"
"-17,898649"
"-33,464939"
"-48,515461"
"-62,818253"
"-76,15287"
"-88,313805"
"-99,113632"
"-108,385895"
"-115,987686"
"-121,801849"
"-125,738777"
"-127,737793"
"-127,768082"
"-125,829178"
"-121,950966"
"-116,193222"
"-108,644676"
"-99,421677"
"-88,666374"
"-76,544518"
"-63,242939"
"-48,966648"
"-33,935673"
"-18,381674"
"-2,544371"
"13,332146"
"29,003185"
"44,227219"
"58,769615"
"72,406242"
"84,926926"
"96,138695"
"105,868752"
"113,96714"
"120,309036"
"124,796707"
"127,360977"
"127,962334"
"126,591507"
"123,269623"
"118,047874"
"111,006752"
"102,254761"
"91,926804"
"80,182045"
"67,201508"
"53,185238"
"38,34927"
"22,922255"
"7,141955"
"-8,748418"
"-24,503958"
"-39,881836"
"-54,64505"
"-68,566063"
"-81,430313"
"-93,039543"
"-103,214828"
"-111,799347"
"-118,660782"
"-123,69339"
"-126,819611"
"-127,991257"
"-127,190277"
"-124,429008"
"-119,750015"
"-113,225403"
"-104,955734"
"-95,068466"
"-83,715981"
"-71,07325"
"-57,335114"
"-42,713322"
"-27,43322"
"-11,730311"
"4,153387"
"19,973072"
"35,484928"
"50,449883"
"64,637291"
"77,828499"
"89,82019"
"100,427551"
"109,487106"
"116,859222"
"122,430267"
"126,114395"
"127,85482"
"127,624718"
"125,427635"
"121,297432"
"115,297768"
"107,521103"
"98,087303"
"87,141754"
"74,853165"
"61,410912"
"47,022186"
"31,908741"
"16,303513"
"0,447011"
"-15,416381"
"-31,042171"
"-46,189533"
"-60,625011"
"-74,126122"
"-86,484787"
"-97,510529"
"-107,033409"
"-114,906677"
"-121,008972"
"-125,246246"
"-127,5532"
"-127,894272"
"-126,264214"
"-122,688141"
"-117,221169"
"-109,947556"
"-100,979408"
"-90,454941"
"-78,536362"
"-65,407372"
"-51,270298"
"-36,343037"
"-20,85565"
"-5,046831"
"10,839771"
"26,559309"
"41,869507"
"56,534405"
"70,32798"
"83,037643"
"94,467514"
"104,441429"
"112,805672"
"119,43132"
"124,21627"
"127,086777"
"127,998589"
"126,937653"
"123,920326"
"118,993118"
